POWERFUL WEBSITES COLLECTION,,,,
Category,Website Name,Link,Details,
Shopping,Rakuten,www.rakuten.com/r/MAXCAS39?eeid=28187,"Free Cashback from online shopping, my favorite website ever",
Entertainment,A Good Movie,https://agoodmovietowatch.com/,Curated movie picks,
Design,WhatTheFont,https://www.myfonts.com/WhatTheFont/,Font identifier,
Tool,House Creep,https://www.housecreep.com/,Address crime history,
Books,Which Book,https://whichbook.net/,Mood-based book picks,
AI,Remove BG,https://remove.bg,Auto background remover,
Entertainment,ReelGood Roulette,https://reelgood.com/roulette/netflix,Random title picker,
Music,Tune Find,https://tunefind.com/,TV/film song ID,
Tool,TempMail,https://temp-mail.org/en/,Disposable email address,
Travel,Seat Guru,https://www.seatguru.com/,Airplane seat guide,
Tool,WiFi Map,https://www.wifimap.io/,Offline hotspot map,
AI,The Inpaint,https://theinpaint.com,Remove objects in photos,
Tool,WiFi spc,https://wifispc.com,Venue Wi-Fi passwords,
AI,Photopea,https://www.photopea.com/,Online Photoshop clone,
Health,SleepyTime,https://sleepyti.me,Optimal sleep times,
Tool,City Protect,https://cityprotect.com,Police incident map,
Music,Music Map,https://www.music-map.com/,Similar artist graph,
Tool,Omni Calculator,https://www.omnicalculator.com/,Specialty calculators,
Food,Taste Atlas,https://www.tasteatlas.com/,World food guide,
Tool,AlternativeTo,https://alternativeto.net/,Software alternatives,
AI,Cleanup Pictures,https://cleanup.pictures/,Remove objects in images,
Tool,I Love PDF,https://www.ilovepdf.com,PDF toolkit,
School,Docsity,https://www.docsity.com/en/,Past exams & notes,
Music,Vocal Remover,https://vocalremover.com/,Split vocals & music,
Tool,Account Killer,https://www.accountkiller.com/en/home,Delete-account guides,
Fitness,Muscle Wiki,https://musclewiki.com/,Target muscle workouts,
School,Cheatography,https://cheatography.com,Printable cheat sheets,
School,edX,https://www.edx.org/,Free university courses,
Food,What Should I Make?,http://whatthefuckshouldimakefordinner.com/,Random dinner idea,
Shopping,Amazon Style Snap,https://www.amazon.com/stylesnap,Photo-based product match,
Career,Remote OK,https://remoteok.com/,Remote job board,
Games,Play Retro Games,https://playretrogames.com,Browser retro games,
Food,Eat This Much,https://www.eatthismuch.com/,Auto meal planner,
Entertainment,Just Watch,https://www.justwatch.com/,Streaming availability search,
Food,Hack the Menu,http://hackthemenu.com/,Secret fast-food menus,
Music,WhoSampled,https://www.whosampled.com/,Song samples database,
Tool,Namechk,https://namechk.com/,Username availability,
School,Class Central,https://www.classcentral.com/report/free-certificates/,Free certificate courses,
Tool,Get Human,https://www.gethuman.com,Human support shortcuts,
